logz logzerr logvol nlive logl logwt insert_order
-4.021361585327939565e+02 4.506785662964621908e-01 -1.125000000000000583e-01 4.000000000000000000e+02 -3.982384155824363461e+02 -4.043436298691276534e+02 1.425000000000000044e+00
-4.020318179811041546e+02 2.984687698428776792e-01 -1.150000000000000605e-01 4.000000000000000000e+02 -3.980929804640448992e+02 -4.042006947507362042e+02 1.294999999999999929e+00
-4.019235862482808557e+02 3.116921031040226220e-01 -1.175000000000000627e-01 4.000000000000000000e+02 -3.980087435572580148e+02 -4.041189578439493175e+02 1.925000000000000044e+00
-4.018180402798705586e+02 3.411512163404741838e-01 -1.200000000000000649e-01 4.000000000000000000e+02 -3.979929246061265076e+02 -4.041056388928178080e+02 1.000000000000000000e+00
-4.017213583740011700e+02 3.236141982946258988e-01 -1.225000000000000672e-01 4.000000000000000000e+02 -3.979856862929970589e+02 -4.041009005796883571e+02 1.209999999999999964e+00
-4.016328046437402008e+02 3.092040160074666089e-01 -1.250000000000000555e-01 4.000000000000000000e+02 -3.979447265951035888e+02 -4.040624408817948847e+02 1.909999999999999920e+00
-4.015484002042421139e+02 3.533090877037766142e-01 -1.275000000000000577e-01 4.000000000000000000e+02 -3.978925031076405503e+02 -4.040127173943318439e+02 2.000000000000000042e-02
-4.014667585536458319e+02 3.808394084419738923e-01 -1.300000000000000600e-01 4.000000000000000000e+02 -3.978165559524271089e+02 -4.039392702391184002e+02 1.489999999999999991e+00
-4.013857569135676613e+02 3.830051091643457140e-01 -1.325000000000000622e-01 4.000000000000000000e+02 -3.976683179292483032e+02 -4.037935322159395923e+02 2.700000000000000178e-01
-4.012995651542415771e+02 4.117484896354327573e-01 -1.350000000000000644e-01 4.000000000000000000e+02 -3.976405928833680719e+02 -4.037683071700593587e+02 7.249999999999999778e-01
-4.012182696940151345e+02 4.252912041288886558e-01 -1.375000000000000666e-01 4.000000000000000000e+02 -3.975568891823898525e+02 -4.036871034690811939e+02 1.639999999999999902e+00
-4.011369813979321179e+02 4.351819356944838235e-01 -1.400000000000000688e-01 4.000000000000000000e+02 -3.974726093056973468e+02 -4.036053235923886859e+02 7.900000000000000355e-01
-4.010556547144034880e+02 4.562627478674919357e-01 -1.425000000000000711e-01 4.000000000000000000e+02 -3.974383265019997680e+02 -4.035735407886911048e+02 6.850000000000000533e-01
-4.009781106281952816e+02 4.848595212580158464e-01 -1.450000000000000733e-01 4.000000000000000000e+02 -3.973796475827900849e+02 -4.035173618694814195e+02 3.150000000000000022e-01
-4.009021450139914009e+02 4.753575627927818514e-01 -1.475000000000000755e-01 4.000000000000000000e+02 -3.972591459261940940e+02 -4.033993602128854263e+02 1.899999999999999911e+00
-4.008230437577097973e+02 4.633284211431445976e-01 -1.500000000000000777e-01 4.000000000000000000e+02 -3.970820528799295062e+02 -4.032247671666208362e+02 3.350000000000000200e-01
-4.007363508329324304e+02 3.708418906087319056e-01 -1.525000000000000799e-01 4.000000000000000000e+02 -3.970545865228223192e+02 -4.031998008095136470e+02 1.550000000000000044e+00
-4.006546411674906381e+02 3.750785864124678848e-01 -1.550000000000000822e-01 4.000000000000000000e+02 -3.970311048709514239e+02 -4.031788191576427494e+02 1.709999999999999964e+00
-4.005775651805875555e+02 3.666505825369193450e-01 -1.575000000000000844e-01 4.000000000000000000e+02 -3.970105521112641327e+02 -4.031607663979554559e+02 5.350000000000000311e-01
-4.005047499224485819e+02 3.234257624587727475e-01 -1.600000000000000866e-01 4.000000000000000000e+02 -3.969640239713508549e+02 -4.031167382580421759e+02 1.280000000000000027e+00
-4.004339294761645647e+02 3.161168804957038003e-01 -1.625000000000000888e-01 4.000000000000000000e+02 -3.969522151034144031e+02 -4.031074293901057217e+02 1.760000000000000009e+00
-4.003671962350610443e+02 3.562768127674372787e-01 -1.650000000000000910e-01 4.000000000000000000e+02 -3.968989759432295727e+02 -4.030566902299208891e+02 6.550000000000000266e-01
-4.003014878083727695e+02 3.539981838556165439e-01 -1.675000000000000933e-01 4.000000000000000000e+02 -3.967716911642594368e+02 -4.029319054509507509e+02 9.699999999999999734e-01
-4.002319166296810522e+02 3.385384570224886369e-01 -1.700000000000000955e-01 4.000000000000000000e+02 -3.967105861591987832e+02 -4.028733004458900950e+02 8.249999999999999556e-01
-4.001630786890233367e+02 2.978197317121042409e-01 -1.725000000000000977e-01 4.000000000000000000e+02 -3.966239782220910115e+02 -4.027891925087823211e+02 1.649999999999999911e+00
-4.000932176851612780e+02 2.975424584201558087e-01 -1.750000000000000999e-01 4.000000000000000000e+02 -3.966099245252513583e+02 -4.027776388119426656e+02 8.499999999999999778e-01
-4.000271858762353645e+02 2.727498175640031830e-01 -1.775000000000001021e-01 4.000000000000000000e+02 -3.965533369270764865e+02 -4.027235512137677915e+02 1.659999999999999920e+00
