,alpha_gluon,beta_gluon,alpha_up,beta_up,epsilon_up,gamma_up,alpha_down,beta_down,epsilon_down,gamma_down,norm_sigma,alpha_sigma,beta_sigma
98,1.49574e+00,1.73797e-01,1.06636e+00,6.53688e-01,7.83266e-01,3.33640e+00,1.09573e+00,3.31806e+00,2.69189e+00,2.68548e+00,2.19166e+00,3.15098e-01,1.71227e+00
99,1.38891e+00,1.41786e-01,2.45553e+00,5.37394e-01,4.79396e-02,2.37235e+00,2.22016e+00,9.30002e-02,2.44000e-01,2.66010e+00,1.12523e+00,1.34309e+00,1.35831e+00
100,1.47422e+00,1.00973e-01,1.94293e+00,2.65033e+00,2.68736e+00,2.53390e+00,2.86142e+00,4.16698e-01,2.00754e-02,9.59741e-01,2.81404e+00,3.28475e+00,2.00756e+00
101,1.19137e+00,1.76041e-01,5.30997e-01,1.59790e+00,2.02765e-01,1.90026e+00,1.27804e+00,1.29318e+00,4.79477e-01,1.68633e+00,9.47375e-01,6.99734e-02,3.38842e+00
102,1.22538e+00,1.25050e-01,5.51714e-01,1.02358e+00,2.55186e-01,1.81545e+00,6.10579e-01,1.10251e+00,2.78269e+00,2.78884e-02,2.62041e+00,2.76188e+00,8.80745e-01
103,1.31433e+00,1.33513e-01,1.23338e+00,3.04231e+00,2.89376e+00,3.28431e+00,2.30049e+00,2.48465e+00,1.20171e+00,1.14128e+00,2.60673e+00,2.09328e+00,1.59670e+00
104,1.49969e+00,6.81927e-02,2.66813e+00,3.37744e-01,1.22101e+00,3.25979e+00,8.91711e-01,1.74328e+00,1.53432e+00,1.44439e+00,3.21021e+00,3.59336e-01,2.79811e+00
105,1.22932e+00,1.28495e-01,3.14199e+00,2.03332e+00,6.83906e-01,3.14981e-01,3.46960e-01,9.09001e-01,3.00700e+00,1.89980e-02,2.47714e+00,9.21726e-01,2.10101e+00
106,1.43064e+00,1.60241e-01,2.93796e+00,6.39362e-01,3.34687e+00,2.72714e+00,3.68885e-01,1.30542e-01,3.02857e+00,1.91848e+00,1.50214e+00,2.21352e+00,2.04367e+00
107,1.60839e+00,9.31134e-02,1.94042e+00,3.12701e+00,8.09271e-01,3.11365e+00,1.98921e+00,2.90298e+00,3.02761e+00,3.10910e+00,9.12462e-01,2.80744e+00,2.37616e+00
108,1.21956e+00,1.64885e-01,1.74218e-01,3.13913e+00,1.90579e+00,2.38685e+00,2.54420e+00,2.04105e+00,1.25626e+00,2.53141e+00,7.21987e-01,4.25588e-01,1.45274e+00
109,1.46081e+00,1.31063e-01,2.62863e+00,2.65616e+00,2.06896e+00,3.20967e+00,2.88242e+00,2.39318e+00,1.03097e+00,2.98666e+00,1.60396e+00,2.31242e+00,1.43677e+00
110,1.47885e+00,8.48419e-02,2.39700e+00,2.48664e+00,1.66929e+00,3.31429e+00,6.75122e-01,3.81379e-01,2.39421e-01,1.05458e-01,1.39100e+00,7.06434e-01,6.14891e-01
